"filename", "language", "YAML", "Dart", "Markdown", "ApexLog", "C++", "XML", "JSON", "Swift", "HTML", "Gradle", "Properties", "Kotlin", "comment", "blank", "total"
"c:\Users\Admin\Documents\GitLab\voce\lib\blocs\bloc_table_panel.dart", "Dart", 0, 272, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 30, 325
"c:\Users\Admin\Documents\GitLab\voce\lib\blocs\bloc_table_screen.dart", "Dart", 0, 48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 13, 64
"c:\Users\Admin\Documents\GitLab\voce\lib\cubit\add_autism_centre_cubit.dart", "Dart", 0, 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 42
"c:\Users\Admin\Documents\GitLab\voce\lib\cubit\add_autism_centre_state.dart", "Dart", 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 30
"c:\Users\Admin\Documents\GitLab\voce\lib\cubit\add_new_patient_cubit.dart", "Dart", 0, 97, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 108
"c:\Users\Admin\Documents\GitLab\voce\lib\cubit\add_new_patient_state.dart", "Dart", 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 34
"c:\Users\Admin\Documents\GitLab\voce\lib\cubit\auth_cubit.dart", "Dart", 0, 93, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 102
"c:\Users\Admin\Documents\GitLab\voce\lib\cubit\auth_state.dart", "Dart", 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 34
"c:\Users\Admin\Documents\GitLab\voce\lib\cubit\communication_settings_panel_cubit.dart", "Dart", 0, 135, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 22, 173
"c:\Users\Admin\Documents\GitLab\voce\lib\cubit\communication_settings_panel_state.dart", "Dart", 0, 44, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 56
"c:\Users\Admin\Documents\GitLab\voce\lib\cubit\create_image_cubit.dart", "Dart", 0, 98, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 114
"c:\Users\Admin\Documents\GitLab\voce\lib\cubit\create_image_state.dart", "Dart", 0, 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 50
"c:\Users\Admin\Documents\GitLab\voce\lib\cubit\dash_patient_image_count_cubit.dart", "Dart", 0, 56, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 10, 69
"c:\Users\Admin\Documents\GitLab\voce\lib\cubit\dash_patient_image_count_state.dart", "Dart", 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 24
"c:\Users\Admin\Documents\GitLab\voce\lib\cubit\dash_patient_new_pictograms_cubit.dart", "Dart", 0, 58, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 14, 75
"c:\Users\Admin\Documents\GitLab\voce\lib\cubit\dash_patient_new_pictograms_state.dart", "Dart", 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 25
"c:\Users\Admin\Documents\GitLab\voce\lib\cubit\dash_patient_phrase_stats_cubit.dart", "Dart", 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 14, 79
"c:\Users\Admin\Documents\GitLab\voce\lib\cubit\dash_patient_phrase_stats_state.dart", "Dart", 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 25
"c:\Users\Admin\Documents\GitLab\voce\lib\cubit\dedicated_cubits\download_centre_tables_cubit.dart", "Dart", 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 31
"c:\Users\Admin\Documents\GitLab\voce\lib\cubit\dedicated_cubits\download_centre_tables_state.dart", "Dart", 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 27
"c:\Users\Admin\Documents\GitLab\voce\lib\cubit\dedicated_cubits\download_public_tables_cubit.dart", "Dart", 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 29
"c:\Users\Admin\Documents\GitLab\voce\lib\cubit\dedicated_cubits\download_public_tables_state.dart", "Dart", 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 27
"c:\Users\Admin\Documents\GitLab\voce\lib\cubit\dedicated_cubits\search_voce_images_cubit.dart", "Dart", 0, 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 8, 47
"c:\Users\Admin\Documents\GitLab\voce\lib\cubit\dedicated_cubits\search_voce_images_state.dart", "Dart", 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 25
